,filename,start_time,end_time,sentence,phoneme,speech,input_values,input_length,labels
96,comedy_78_first_12min,188.880,193.637,يلا  يلا كفاية عليكي  يلا بينا  حضرتك اتفضل ,"ylA ylA kfAyp Elyky ylA bynA HDrtk <tfDl  
","tensor([0.0462, 0.0432, 0.0409,  ..., 0.0069, 0.0074, 0.0077])",[0.33345628 0.3117745  0.2949109  ... 0.05115532 0.05444043 0.05706852],76112,"[35, 29, 6, 0, 0, 35, 29, 6, 0, 28, 26, 6, 35, 8, 0, 24, 29, 35, 28, 35, 0, 0, 35, 29, 6, 0, 7, 35, 31, 6, 0, 0, 12, 21, 16, 9, 28, 0, 6, 9, 26, 21, 29, 0]"
97,comedy_78_first_12min,212.420,223.115,هالو  هالو  هلا سهلا  اهلا وسهلا  سوري على التاخير  بقالي ساعة مستني     ,"hAlw hAlw hlA shlA >hlA wshlA swry ElY Alt>xyr bqAly sAEp mstny @@LAT(I'm @@LATso @@LATsorry)  
","tensor([ 0.1579,  0.1653,  0.1718,  ..., -0.0246, -0.0238, -0.0255])","[ 1.3740863   1.4369439   1.4923     ... -0.17252159 -0.16631342
 -0.18002312]",171120,"[32, 6, 29, 33, 0, 0, 32, 6, 29, 33, 0, 0, 32, 29, 6, 0, 18, 32, 29, 6, 0, 0, 6, 32, 29, 6, 0, 33, 18, 32, 29, 6, 0, 0, 18, 33, 16, 35, 0, 24, 29, 34, 0, 6, 29, 9, 6, 13, 35, 16, 0, 0, 7, 27, 6, 29, 35, 0, 18, 6, 24, 8, 0, 30, 18, 9, 31, 35, 0, 0, 0, 0, 0]"
98,comedy_78_first_12min,223.115,227.076,انا جاكي اللي هاعمل معاك الانترفيو  يا اهلا وسهلا ,">nA jAky Ally h>Eml mEAk Al<ntrfyw yA >hlA wshlA  
","tensor([ 0.0010, -0.0092, -0.0263,  ..., -0.0650, -0.0564, -0.0508])","[ 0.0559779  -0.03580058 -0.18831082 ... -0.5333652  -0.45683774
 -0.4064549 ]",63376,"[6, 31, 6, 0, 11, 6, 28, 35, 0, 6, 29, 29, 35, 0, 32, 6, 24, 30, 29, 0, 30, 24, 6, 28, 0, 6, 29, 6, 31, 9, 16, 26, 35, 33, 0, 0, 35, 6, 0, 6, 32, 29, 6, 0, 33, 18, 32, 29, 6, 0]"
99,comedy_78_first_12min,227.076,234.204,اهلا بحضرتك  اهلا  ا هاسالك كام سؤال ويا ريت ترد علي باختصار وبعد ما نخلص الانترفيو هنقعد ندردش اوكي  تمام ,">hlA bHDrtk >hlA | h>s>lk kAm s&Al wyA ryt trd Ely bAxtSAr wbEd mA nxlS Al<ntrfyw hnqEd ndrd$ >wky tmAm  
","tensor([-0.0518, -0.0439, -0.0411,  ...,  0.0106,  0.0052,  0.0072])","[-0.28792506 -0.23965624 -0.22276215 ...  0.09172781  0.05942483
  0.07130639]",114048,"[6, 32, 29, 6, 0, 7, 12, 21, 16, 9, 28, 0, 0, 6, 32, 29, 6, 0, 0, 6, 0, 32, 6, 18, 6, 29, 28, 0, 28, 6, 30, 0, 18, 4, 6, 29, 0, 33, 35, 6, 0, 16, 35, 9, 0, 9, 16, 14, 0, 24, 29, 35, 0, 7, 6, 13, 9, 20, 6, 16, 0, 33, 7, 24, 14, 0, 30, 6, 0, 31, 13, 29, 20, 0, 6, 29, 6, 31, 9, 16, 26, 35, 33, 0, 32, 31, 27, 24, 14, 0, 31, 14, 16, 14, 19, 0, 6, 33, 28, 35, 0, 0, 9, 30, 6, 30, 0]"
100,comedy_78_first_12min,234.204,241.707,اسمك ايه بالكامل حضرتك  عصام فرحات عبد الحميد  سنك قد ايه  حوالي اربعين تقريبا مش باين علي صح ,"Asmk <yh bAlkAml HDrtk ESAm frHAt Ebd AlHmyd snk qd <yh HwAly >rbEyn tqrybA m$ bAyn Ely SH  
","tensor([-0.0019, -0.0171, -0.0183,  ..., -0.0035, -0.0030, -0.0023])","[ 0.01431654 -0.10494368 -0.11404385 ...  0.00186367  0.00617428
  0.01096385]",120048,"[6, 18, 30, 28, 0, 6, 35, 32, 0, 7, 6, 29, 28, 6, 30, 29, 0, 12, 21, 16, 9, 28, 0, 0, 24, 20, 6, 30, 0, 26, 16, 12, 6, 9, 0, 24, 7, 14, 0, 6, 29, 12, 30, 35, 14, 0, 0, 18, 31, 28, 0, 27, 14, 0, 6, 35, 32, 0, 0, 12, 33, 6, 29, 35, 0, 6, 16, 7, 24, 35, 31, 0, 9, 27, 16, 35, 7, 6, 0, 30, 19, 0, 7, 6, 35, 31, 0, 24, 29, 35, 0, 20, 12, 0]"
101,comedy_78_first_12min,241.707,249.771,ليه ا ليه حوالي  لا اربعين  اوكي  اربعين بالظبط  الرجالة ما بتحبش دايما تقول انه  لا لا ليه ,"lyh > lyh HwAly lA >rbEyn >wky >rbEyn bAlZbT AlrjAlp mA btHb$ dAymA tqwl <nh lA lA lyh  
","tensor([-0.0016, -0.0035, -0.0038,  ..., -0.0495, -0.0468, -0.0447])","[ 0.01766495  0.00829525  0.00673363 ... -0.2271965  -0.21345428
 -0.20283528]",129024,"[29, 35, 32, 0, 6, 0, 29, 35, 32, 0, 12, 33, 6, 29, 35, 0, 0, 29, 6, 0, 6, 16, 7, 24, 35, 31, 0, 0, 6, 33, 28, 35, 0, 0, 6, 16, 7, 24, 35, 31, 0, 7, 6, 29, 23, 7, 22, 0, 0, 6, 29, 16, 11, 6, 29, 8, 0, 30, 6, 0, 7, 9, 12, 7, 19, 0, 14, 6, 35, 30, 6, 0, 9, 27, 33, 29, 0, 6, 31, 32, 0, 0, 29, 6, 0, 29, 6, 0, 29, 35, 32, 0]"
102,comedy_78_first_12min,249.771,259.031,تمام اتخرجت من ايه  تربية موسيقية كلية تربية موسيقية  بتشتغل حاليا  اه مطرب الحمد لله باشتغل  باعرف ,"tmAm <txrjt mn <yh trbyp mwsyqyp klyp trbyp mwsyqyp bt$tgl HAlyA |h mTrb AlHmd llh b>$tgl b>Erf  
","tensor([-0.0421, -0.0422, -0.0385,  ...,  0.0583,  0.0768,  0.0910])","[-0.2823599  -0.28258416 -0.25522393 ...  0.4556936   0.5913735
  0.6958806 ]",148160,"[9, 30, 6, 30, 0, 6, 9, 13, 16, 11, 9, 0, 30, 31, 0, 6, 35, 32, 0, 0, 9, 16, 7, 35, 8, 0, 30, 33, 18, 35, 27, 35, 8, 0, 28, 29, 35, 8, 0, 9, 16, 7, 35, 8, 0, 30, 33, 18, 35, 27, 35, 8, 0, 0, 7, 9, 19, 9, 25, 29, 0, 12, 6, 29, 35, 6, 0, 0, 6, 32, 0, 30, 22, 16, 7, 0, 6, 29, 12, 30, 14, 0, 29, 29, 32, 0, 7, 6, 19, 9, 25, 29, 0, 0, 7, 6, 24, 16, 26, 0]"
103,comedy_78_first_12min,259.031,267.768,ا ايه نقاط القوة والضعف عندك  القوة الحمد لله ما يعني ,"| <yh nqAT Alqwp wAlDEf Endk Alqwp AlHmd llh mA yEny  
","tensor([ 0.0824,  0.0784,  0.0663,  ..., -0.0750, -0.0745, -0.0669])","[ 0.46424127  0.44297493  0.37885368 ... -0.36675715 -0.36434054
 -0.32422447]",139792,"[6, 0, 6, 35, 32, 0, 31, 27, 6, 22, 0, 6, 29, 27, 33, 8, 0, 33, 6, 29, 21, 24, 26, 0, 24, 31, 14, 28, 0, 0, 6, 29, 27, 33, 8, 0, 6, 29, 12, 30, 14, 0, 29, 29, 32, 0, 30, 6, 0, 35, 24, 31, 35, 0]"
104,comedy_78_first_12min,267.768,276.623,انا قوي يعني شخصيتي قوية انما نقطة ضعفي بالنسبة لي ان حد يعيط او  لوجيك انت  اه الحمد لله  اوكي  برج الاسد ,">nA qwy yEny $xSyty qwyp <nmA nqTp DEfy bAlnsbp ly <n Hd yEyT >w lwjyk >nt |h AlHmd llh >wky brj Al>sd  
","tensor([-0.0610, -0.0594, -0.0558,  ..., -0.0129, -0.0184, -0.0173])","[-0.2886818  -0.2802906  -0.26129168 ... -0.0391625  -0.0676609
 -0.06180289]",141680,"[6, 31, 6, 0, 27, 33, 35, 0, 35, 24, 31, 35, 0, 19, 13, 20, 35, 9, 35, 0, 27, 33, 35, 8, 0, 6, 31, 30, 6, 0, 31, 27, 22, 8, 0, 21, 24, 26, 35, 0, 7, 6, 29, 31, 18, 7, 8, 0, 29, 35, 0, 6, 31, 0, 12, 14, 0, 35, 24, 35, 22, 0, 6, 33, 0, 0, 29, 33, 11, 35, 28, 0, 6, 31, 9, 0, 0, 6, 32, 0, 6, 29, 12, 30, 14, 0, 29, 29, 32, 0, 0, 6, 33, 28, 35, 0, 0, 7, 16, 11, 0, 6, 29, 6, 18, 14, 0]"
105,comedy_78_first_12min,276.623,283.665,انت برج الاسد اوكي ليدر ايه مفهوم الحرية عندك  الحرية ,">nt brj Al>sd >wky lydr <yh mfhwm AlHryp Endk AlHryp  
","tensor([-0.0146, -0.0155, -0.0149,  ..., -0.0953, -0.0947, -0.0931])","[-0.06104201 -0.06664991 -0.06239564 ... -0.5723275  -0.56846
 -0.55840445]",112672,"[6, 31, 9, 0, 7, 16, 11, 0, 6, 29, 6, 18, 14, 0, 6, 33, 28, 35, 0, 29, 35, 14, 16, 0, 6, 35, 32, 0, 30, 26, 32, 33, 30, 0, 6, 29, 12, 16, 35, 8, 0, 24, 31, 14, 28, 0, 0, 6, 29, 12, 16, 35, 8, 0]"
106,comedy_78_first_12min,283.665,293.356,مفهوم الحرية اني ما ابقاش مقيد يعني  بمعنى  بمعنى ان انا اعمل كل حاجة اللي يمليه علي ضميري بس اكون بحريتي يعني  والسلام ,"mfhwm AlHryp <ny mA >bqA$ mqyd yEny bmEnY bmEnY <n >nA >Eml kl HAjp Ally ymlyh Ely Dmyry bs >kwn bHryty yEny wAlslAm  
","tensor([-0.0930, -0.0922, -0.0891,  ...,  0.0517,  0.0511,  0.0562])","[-0.38912246 -0.38576138 -0.37204823 ...  0.2482697   0.24544641
  0.2681672 ]",155056,"[30, 26, 32, 33, 30, 0, 6, 29, 12, 16, 35, 8, 0, 6, 31, 35, 0, 30, 6, 0, 6, 7, 27, 6, 19, 0, 30, 27, 35, 14, 0, 35, 24, 31, 35, 0, 0, 7, 30, 24, 31, 34, 0, 0, 7, 30, 24, 31, 34, 0, 6, 31, 0, 6, 31, 6, 0, 6, 24, 30, 29, 0, 28, 29, 0, 12, 6, 11, 8, 0, 6, 29, 29, 35, 0, 35, 30, 29, 35, 32, 0, 24, 29, 35, 0, 21, 30, 35, 16, 35, 0, 7, 18, 0, 6, 28, 33, 31, 0, 7, 12, 16, 35, 9, 35, 0, 35, 24, 31, 35, 0, 0, 33, 6, 29, 18, 29, 6, 30, 0]"
107,comedy_78_first_12min,293.356,300.194,احب السلام طبعا مين بيكره ال  اكيد ما لا في ناس بتكره السلام  لا لا مش انا خالص ,">Hb AlslAm TbEA myn bykrh Al >kyd mA lA fy nAs btkrh AlslAm lA lA m$ >nA xAlS  
","tensor([0.0551, 0.0567, 0.0583,  ..., 0.0620, 0.0575, 0.0509])",[0.35418838 0.36391422 0.37309977 ... 0.3954332  0.36859703 0.32951355],109408,"[6, 12, 7, 0, 6, 29, 18, 29, 6, 30, 0, 22, 7, 24, 6, 0, 30, 35, 31, 0, 7, 35, 28, 16, 32, 0, 6, 29, 0, 0, 6, 28, 35, 14, 0, 30, 6, 0, 29, 6, 0, 26, 35, 0, 31, 6, 18, 0, 7, 9, 28, 16, 32, 0, 6, 29, 18, 29, 6, 30, 0, 0, 29, 6, 0, 29, 6, 0, 30, 19, 0, 6, 31, 6, 0, 13, 6, 29, 20, 0]"
108,comedy_78_first_12min,300.194,307.592,بالعكس مسالم لا لا  ده شي منيح بتلبس جلاليب بالبيت  خالص ما احبهاش خالص نهائي ,"bAlEks msAlm lA lA dh $y mnyH btlbs jlAlyb bAlbyt xAlS mA >HbhA$ xAlS nhA}y  
","tensor([0.0434, 0.0410, 0.0428,  ..., 0.0190, 0.0182, 0.0157])",[0.38448632 0.36474553 0.37985578 ... 0.18951538 0.18342254 0.16295059],118368,"[7, 6, 29, 24, 28, 18, 0, 30, 18, 6, 29, 30, 0, 29, 6, 0, 29, 6, 0, 0, 14, 32, 0, 19, 35, 0, 30, 31, 35, 12, 0, 7, 9, 29, 7, 18, 0, 11, 29, 6, 29, 35, 7, 0, 7, 6, 29, 7, 35, 9, 0, 0, 13, 6, 29, 20, 0, 30, 6, 0, 6, 12, 7, 32, 6, 19, 0, 13, 6, 29, 20, 0, 31, 32, 6, 5, 35, 0]"
109,comedy_78_first_12min,315.782,324.083,سرقت ما الحمد لله ابدا يعني  مش نفسك تجيب ا لمرتك كذا صيدلية بدل ,"srqt mA AlHmd llh >bdA yEny m$ nfsk tjyb > lmrtk k*A Sydlyp bdl  
","tensor([-0.0042, -0.0131, -0.0198,  ...,  0.1125,  0.1129,  0.1147])","[ 0.00279483 -0.05719751 -0.10270894 ...  0.79407316  0.7965556
  0.80876094]",132816,"[18, 16, 27, 9, 0, 30, 6, 0, 6, 29, 12, 30, 14, 0, 29, 29, 32, 0, 6, 7, 14, 6, 0, 35, 24, 31, 35, 0, 0, 30, 19, 0, 31, 26, 18, 28, 0, 9, 11, 35, 7, 0, 6, 0, 29, 30, 16, 9, 28, 0, 28, 15, 6, 0, 20, 35, 14, 29, 35, 8, 0, 7, 14, 29, 0]"
110,comedy_78_first_12min,324.083,333.463,صيدلية واحدة  صيدلية صيدلية ازاي انتي حضرتك تعرفي منين ان مراتي صيدلانية  حبيبي انا باعرف عنك اشيا كتير ,"Sydlyp wAHdp Sydlyp Sydlyp <zAy >nty HDrtk tErfy mnyn <n mrAty SydlAnyp Hbyby >nA b>Erf Enk >$yA ktyr  
","tensor([ 0.1087,  0.1109,  0.1055,  ..., -0.0056, -0.0099, -0.0109])","[ 0.69064593  0.70371234  0.67085963 ... -0.00878021 -0.03472637
 -0.04088625]",150080,"[20, 35, 14, 29, 35, 8, 0, 33, 6, 12, 14, 8, 0, 0, 20, 35, 14, 29, 35, 8, 0, 20, 35, 14, 29, 35, 8, 0, 6, 17, 6, 35, 0, 6, 31, 9, 35, 0, 12, 21, 16, 9, 28, 0, 9, 24, 16, 26, 35, 0, 30, 31, 35, 31, 0, 6, 31, 0, 30, 16, 6, 9, 35, 0, 20, 35, 14, 29, 6, 31, 35, 8, 0, 0, 12, 7, 35, 7, 35, 0, 6, 31, 6, 0, 7, 6, 24, 16, 26, 0, 24, 31, 28, 0, 6, 19, 35, 6, 0, 28, 9, 35, 16, 0]"
111,comedy_78_first_12min,333.463,340.365,ازاي يعني انا جاي اعمل انترفيو بتاع مزيكا ,"<zAy yEny >nA jAy >Eml <ntrfyw btAE mzykA  
","tensor([-0.0110, -0.0118, -0.0111,  ...,  0.0600,  0.0622,  0.0639])","[-0.02989842 -0.03405431 -0.03006465 ...  0.35726434  0.36906707
  0.37821004]",110432,"[6, 17, 6, 35, 0, 35, 24, 31, 35, 0, 6, 31, 6, 0, 11, 6, 35, 0, 6, 24, 30, 29, 0, 6, 31, 9, 16, 26, 35, 33, 0, 7, 9, 6, 24, 0, 30, 17, 35, 28, 6, 0]"
112,comedy_78_first_12min,340.365,349.316,ت حضرتك تعرفي ايه  اخبار الغردقة ايه اتبسطت  الغردقة ,"t HDrtk tErfy <yh >xbAr Algrdqp <yh <tbsTt Algrdqp  
","tensor([0.0709, 0.0751, 0.0793,  ..., 0.0795, 0.0759, 0.0752])",[0.54673904 0.57754576 0.6076923  ... 0.60879254 0.583047   0.5777658 ],143216,"[9, 0, 12, 21, 16, 9, 28, 0, 9, 24, 16, 26, 35, 0, 6, 35, 32, 0, 0, 6, 13, 7, 6, 16, 0, 6, 29, 25, 16, 14, 27, 8, 0, 6, 35, 32, 0, 6, 9, 7, 18, 22, 9, 0, 0, 6, 29, 25, 16, 14, 27, 8, 0]"
113,comedy_78_first_12min,349.316,355.679,ايه مشكلة بقلظ  بقلظ  ليش عم تتطلع فيني هيك ,"<yh m$klp bqlZ bqlZ ly$ Em ttTlE fyny hyk  
","tensor([ 0.0759,  0.0759,  0.0713,  ..., -0.0156, -0.0215, -0.0335])","[ 0.8037152   0.8034097   0.75758755 ... -0.11211704 -0.17168584
 -0.2917399 ]",101808,"[6, 35, 32, 0, 30, 19, 28, 29, 8, 0, 7, 27, 29, 23, 0, 0, 7, 27, 29, 23, 0, 0, 29, 35, 19, 0, 24, 30, 0, 9, 9, 22, 29, 24, 0, 26, 35, 31, 35, 0, 32, 35, 28, 0]"
